"variant","iter","pipeline","analyze","profiles","exact"
"baseline","1","1.34790520000388","0.467731399985496","0.841453799977899","0.0253436999919359"
"optimized","1","1.19826350000221","0.541632599983132","0.599460900004487","0.0431753000011668"
"baseline","2","1.56708209999488","0.522325400001137","0.99825060000876","0.0270153000019491"
"optimized","2","1.08630610001273","0.50814019999234","0.535295600013342","0.0271176999958698"
"baseline","3","1.62260880001122","0.592639600014081","0.994855500000995","0.0195657000003848"
"optimized","3","1.13477090001106","0.597828099998878","0.488770199997816","0.0263457999972161"
"baseline","4","1.59354550001444","0.520497999998042","1.01303770000231","0.0393649000034202"
"optimized","4","1.39881499999319","0.644103600003291","0.685774399986258","0.0366272999963257"
"baseline","5","1.6346554000047","0.548853699991014","1.0446977999818","0.0269415999937337"
"optimized","5","1.21144600000116","0.569846800004598","0.604306199995335","0.0176761000184342"
"baseline","6","1.58272629999556","0.527250700019067","1.01659509999445","0.0255227999878116"
"optimized","6","1.06146599998465","0.490443599992432","0.526195199985523","0.0306534999981523"
"baseline","7","1.64495909999823","0.538397900003474","1.065587900026","0.0271974999923259"
"optimized","7","1.10948670000653","0.56059560002177","0.509977400011849","0.0254466999904253"
"baseline","8","1.46288289999939","0.484719200001564","0.943083100020886","0.0225350999971852"
"optimized","8","1.2996845000016","0.623732600011863","0.635491699998965","0.0279272999905515"
"baseline","9","1.67745329998434","0.562780500011286","1.06007360000513","0.0199890999938361"
"optimized","9","1.25657810000121","0.653740099980496","0.553320200007875","0.0369728000077885"
"baseline","10","1.57769789997838","0.527015800005756","1.01214539998909","0.020204600004945"
"optimized","10","1.28482149998308","0.647902099997737","0.590718999999808","0.0295191000041086"
